,Time,Country,Young and Old to Working Age Dependency Ratio
498,1995,China,50.42039376912646
499,1996,China,49.6393572944161
500,1997,China,48.58040231239401
501,1998,China,47.63393157394076
502,1999,China,46.83160744311001
503,2000,China,45.888556071182585
504,2001,China,44.727394056242595
505,2002,China,43.28138454002087
506,2003,China,41.84222640172346
507,2004,China,40.46390383656579
508,2005,China,39.03198879214834
509,2006,China,38.00775922116839
510,2007,China,37.51348931787252
511,2008,China,37.22402316035585
512,2009,China,37.103960470191396
513,2010,China,37.11989071159449
514,2011,China,37.27426741438014
515,2012,China,37.6567322637834
516,2013,China,38.2125459536525
517,2014,China,38.87739593780808
518,2015,China,39.61921768396668
519,2016,China,40.4578974488452
520,2017,China,41.5448916976285
521,2018,China,42.59355643831198
522,2019,China,43.43832780473829
523,2020,China,44.14078328251918
524,2021,China,44.545904637858065
525,2022,China,44.86239925106683
526,2023,China,45.042220057635554
527,2024,China,44.77340894492827
528,2025,China,44.251765649739376
529,2026,China,43.66467545933562
530,2027,China,43.451212846220635
531,2028,China,44.061219694945216
532,2029,China,44.87285692891555
533,2030,China,45.57066054579899
534,2031,China,46.25430391213352
535,2032,China,46.71453740412266
536,2033,China,47.518024842341816
537,2034,China,48.817816598629996
538,2035,China,50.39990108052257
539,2036,China,52.26236553854366
540,2037,China,54.116156543324266
541,2038,China,55.906780279055624
542,2039,China,57.566745297389645
543,2040,China,58.955182812808395
544,2041,China,60.1186724469408
545,2042,China,61.1136610684397
546,2043,China,61.99959765192688
547,2044,China,62.981918410734494
548,2045,China,64.1192026029378
549,2046,China,65.39633900728218
550,2047,China,66.91038878764837
551,2048,China,68.33387491580194
552,2049,China,69.59695121422885
553,2050,China,71.05586901218372
554,2051,China,72.78761760488611
555,2052,China,74.83824721926453
556,2053,China,76.90315974042922
557,2054,China,78.91656331194275
558,2055,China,81.13436458450792
559,2056,China,82.862411670581
560,2057,China,83.76026115613739
561,2058,China,84.34846602029015
562,2059,China,84.73799135111284
563,2060,China,84.98493148933741
564,2061,China,85.11449946222093
565,2062,China,85.12676335669342
566,2063,China,85.0690792763853
567,2064,China,85.00439724939548
568,2065,China,85.10476588852856
569,2066,China,85.30089712397691
570,2067,China,85.4802111039575
571,2068,China,85.74463894884727
572,2069,China,86.15947325233597
573,2070,China,86.77483244798002
574,2071,China,87.5884199086703
575,2072,China,88.62084198188202
576,2073,China,89.89403476591977
577,2074,China,91.40515077085207
578,2075,China,93.05165011051216
579,2076,China,94.73960249109234
580,2077,China,96.74040142229659
581,2078,China,98.9151595590267
582,2079,China,101.08779137701198
583,2080,China,103.19926454375718
584,2081,China,105.31481336879274
585,2082,China,107.73061992341178
586,2083,China,109.65801123673917
587,2084,China,110.82063653518574
588,2085,China,111.28317657611086
589,2086,China,110.90821775307961
590,2087,China,110.20622588171317
591,2088,China,109.48429962647808
592,2089,China,108.76123971752673
593,2090,China,108.03640834292668
594,2091,China,107.31938254107317
595,2092,China,106.62266600833541
596,2093,China,105.94876613719171
597,2094,China,105.30862536471177
598,2095,China,104.718589214099
599,2096,China,104.1826627075813
600,2097,China,103.7099788495997
601,2098,China,103.32072751973138
602,2099,China,103.01345663408415
603,2100,China,102.78969660647488
604,1950,India,69.53689493406637
605,1951,India,69.99668137803306
606,1952,India,70.58328951165747
607,1953,India,71.317070699347
608,1954,India,72.17030620767025
609,1955,India,73.1012735734766
610,1956,India,74.06309535865994
611,1957,India,75.02234913639766
612,1958,India,76.00229903482133
613,1959,India,76.99163385098322
614,1960,India,77.9742777788062
615,1961,India,78.97333960990471
616,1962,India,79.99751832124203
617,1963,India,81.0127362627384
618,1964,India,81.64474171621498
619,1965,India,81.79666518688327
620,1966,India,81.76475905459645
621,1967,India,81.59826360901702
622,1968,India,81.35813673528428
623,1969,India,81.07479443827779
624,1970,India,80.72556948742935
625,1971,India,80.38548138649615
626,1972,India,80.06327461669613
627,1973,India,79.74505575004409
628,1974,India,79.46074056695835
629,1975,India,79.15337641240089
630,1976,India,78.82077636864612
631,1977,India,78.41968459059963
632,1978,India,77.9242896474627
633,1979,India,77.4335794311016
634,1980,India,76.99499945104701
635,1981,India,76.61424906246349
636,1982,India,76.23945724356199
637,1983,India,75.83359284250251
638,1984,India,75.43863176048588
639,1985,India,75.05170971155412
640,1986,India,74.65804989866693
641,1987,India,74.225791433981
642,1988,India,73.71668489743122
643,1989,India,73.15103192161487
644,1990,India,72.55431446007546
645,1991,India,71.95759784016703
646,1992,India,71.38078277844596
647,1993,India,70.80648613135648
648,1994,India,70.18678847141858
649,1995,India,69.50172818952322
650,1996,India,68.74888934105692
651,1997,India,67.95142119843814
652,1998,India,67.13037757923213
653,1999,India,66.27117489070994
654,2000,India,65.40816682254037
655,2001,India,64.55324312811534
656,2002,India,63.703788619264245
657,2003,India,62.85041443703627
658,2004,India,61.96232141945591
659,2005,India,61.05733451729427
660,2006,India,60.12096466958181
661,2007,India,59.15501638831371
662,2008,India,58.205611251423726
663,2009,India,57.28110808333421
664,2010,India,56.35915816533363
665,2011,India,55.446591753487255
666,2012,India,54.557495786042196
667,2013,India,53.695134913526886
668,2014,India,52.89442858997988
669,2015,India,52.148100630433326
670,2016,India,51.409734018888706
671,2017,India,50.684828203990264
672,2018,India,50.018928063794846
673,2019,India,49.40102936833654
674,2020,India,48.775548078992095
675,2021,India,48.126325539596024
676,2022,India,47.49861630132891
677,2023,India,46.99924766056478
678,2024,India,46.60135137800933
679,2025,India,46.236823389600964
680,2026,India,45.91797167863524
681,2027,India,45.646478774990875
682,2028,India,45.42492902432079
683,2029,India,45.282229151844966
684,2030,India,45.19988323736916
685,2031,India,45.122135476044456
686,2032,India,45.086962784076576
687,2033,India,45.100651949751935
688,2034,India,45.158630195384205
689,2035,India,45.28342170243259
690,2036,India,45.444759225021656
691,2037,India,45.622826807888146
692,2038,India,45.81694398309671
693,2039,India,46.02041595350933
694,2040,India,46.22326665533391
695,2041,India,46.43782764357669
696,2042,India,46.66268067170267
697,2043,India,46.88522866225106
698,2044,India,47.12713997773177
699,2045,India,47.40492572766748
700,2046,India,47.7229830748927
701,2047,India,48.06992482087792
702,2048,India,48.44641482598591
703,2049,India,48.86246599552949
704,2050,India,49.30950225318224
705,2051,India,49.798195158705774
706,2052,India,50.31744888224991
707,2053,India,50.847025624841066
708,2054,India,51.40187219770179
709,2055,India,51.978383478832725
710,2056,India,52.58008105019645
711,2057,India,53.21595481220468
712,2058,India,53.87967291212272
713,2059,India,54.573506808554995
714,2060,India,55.29718894371417
715,2061,India,56.04301260366683
716,2062,India,56.811242310575416
717,2063,India,57.597255769297696
718,2064,India,58.39825181886029
719,2065,India,59.229468850614694
720,2066,India,60.10083678375467
721,2067,India,60.98638968743752
722,2068,India,61.857243972693674
723,2069,India,62.707453263432086
724,2070,India,63.51698828166765
725,2071,India,64.27184972649401
726,2072,India,64.98911544624126
727,2073,India,65.69281689156219
728,2074,India,66.39880258755947
729,2075,India,67.095404118203
730,2076,India,67.76506025681535
731,2077,India,68.39928483602782
732,2078,India,68.99402224850068
733,2079,India,69.5174185547416
734,2080,India,69.987364491563
735,2081,India,70.4630074031221
736,2082,India,70.91247473261909
737,2083,India,71.33579052503084
738,2084,India,71.72268942274924
739,2085,India,72.04572573116657
740,2086,India,72.35350765290009
741,2087,India,72.67440312492818
742,2088,India,73.00759385547153
743,2089,India,73.35821929741464
744,2090,India,73.72844632462349
745,2091,India,74.10661293740405
746,2092,India,74.49051505842093
747,2093,India,74.88855465170053
