,Time,Country,Old to Working Age Dependency Ratio
348,1996,Brazil,8.089560717361453
349,1997,Brazil,8.198266655226165
350,1998,Brazil,8.305305902181773
351,1999,Brazil,8.409793128688205
352,2000,Brazil,8.511592344894884
353,2001,Brazil,8.622398132841937
354,2002,Brazil,8.746160094798999
355,2003,Brazil,8.88051086779108
356,2004,Brazil,9.029870986630891
357,2005,Brazil,9.194823729071967
358,2006,Brazil,9.371253191962548
359,2007,Brazil,9.553419670077924
360,2008,Brazil,9.73841134771749
361,2009,Brazil,9.924164552186285
362,2010,Brazil,10.108503528204228
363,2011,Brazil,10.29452845018049
364,2012,Brazil,10.497456989092996
365,2013,Brazil,10.734383566380446
366,2014,Brazil,11.02671433432454
367,2015,Brazil,11.360197960261308
368,2016,Brazil,11.705513838348908
369,2017,Brazil,12.070514872422484
370,2018,Brazil,12.462453466912251
371,2019,Brazil,12.876436125469287
372,2020,Brazil,13.296350735743609
373,2021,Brazil,13.711079606639364
374,2022,Brazil,14.13948319916728
375,2023,Brazil,14.634141658155105
376,2024,Brazil,15.192232974370178
377,2025,Brazil,15.775059354588805
378,2026,Brazil,16.38212598507374
379,2027,Brazil,17.012281076859985
380,2028,Brazil,17.661698760927038
381,2029,Brazil,18.31790496561969
382,2030,Brazil,18.96645383094221
383,2031,Brazil,19.610576725668956
384,2032,Brazil,20.245747155230635
385,2033,Brazil,20.861084032237716
386,2034,Brazil,21.47355105545663
387,2035,Brazil,22.104128038625056
388,2036,Brazil,22.7534629049898
389,2037,Brazil,23.418790869046223
390,2038,Brazil,24.103992928517997
391,2039,Brazil,24.80307898419506
392,2040,Brazil,25.521099636154883
393,2041,Brazil,26.272718563091424
394,2042,Brazil,27.063656873914034
395,2043,Brazil,27.897551545241367
396,2044,Brazil,28.77501466133152
397,2045,Brazil,29.694620334438138
398,2046,Brazil,30.65474056875978
399,2047,Brazil,31.64964563352865
400,2048,Brazil,32.667042382087175
401,2049,Brazil,33.693846327433285
402,2050,Brazil,34.7189139286799
403,2051,Brazil,35.730967518557975
404,2052,Brazil,36.72881476731287
405,2053,Brazil,37.7082184929513
406,2054,Brazil,38.66348871302673
407,2055,Brazil,39.59481776977419
408,2056,Brazil,40.50256571836087
409,2057,Brazil,41.38414559693305
410,2058,Brazil,42.25745422316425
411,2059,Brazil,43.14010415717533
412,2060,Brazil,44.03449296779871
413,2061,Brazil,44.93696544721748
414,2062,Brazil,45.83766285045856
415,2063,Brazil,46.73648644552173
416,2064,Brazil,47.61089744325964
417,2065,Brazil,48.44201702830605
418,2066,Brazil,49.22665815930741
419,2067,Brazil,49.947740410612276
420,2068,Brazil,50.583946262730706
421,2069,Brazil,51.17782088730651
422,2070,Brazil,51.76921203240471
423,2071,Brazil,52.33068727742294
424,2072,Brazil,52.83857735351128
425,2073,Brazil,53.29241722523522
426,2074,Brazil,53.721382714753794
427,2075,Brazil,54.14575588503183
428,2076,Brazil,54.56812255137674
429,2077,Brazil,54.97193283073302
430,2078,Brazil,55.34764244388229
431,2079,Brazil,55.747993889367464
432,2080,Brazil,56.20320990536808
433,2081,Brazil,56.620937204403155
434,2082,Brazil,57.01726123361788
435,2083,Brazil,57.477739606793165
436,2084,Brazil,57.91901539280069
437,2085,Brazil,58.26434797149626
438,2086,Brazil,58.550308817377264
439,2087,Brazil,58.82150908073092
440,2088,Brazil,59.08615952438456
